timestamp_iso,round_ts,round_clock,event,arb_id,contracts,cost_usd,profit_pct_at_event,k_yes_bid,k_yes_ask,p_yes_ask,p_no_ask,entry_arb_id,entry_cost_usd,entry_contracts,delay_seconds,min_contracts,pair_total_cost,pair_guaranteed_payout,pair_pnl_usd,pair_pnl_pct_of_budget
2026-04-25T16:31:39.047,1777145400,01:39,ENTRY,1,7.1674,7.0035,2.3409,0.44,0.45,0.51,0.5,,,,,,,,,
2026-04-25T16:45:00.015,1777145400,15:00,NAKED_AT_CLOSE,1,7.1674,7.0035,2.3409,0.44,0.45,0.51,0.5,,,,,,,,,
2026-04-25T16:45:22.316,1777146300,00:22,ENTRY,1,7.8213,7.0039,11.6775,0.43,0.44,0.58,0.43,,,,,,,,,
2026-04-25T17:00:00.011,1777146300,15:00,NAKED_AT_CLOSE,1,7.8213,7.0039,11.6775,0.43,0.44,0.58,0.43,,,,,,,,,
2026-04-25T17:00:22.393,1777147200,00:22,ENTRY,1,7.2586,7.0033,3.6478,0.53,0.54,0.62,0.4,,,,,,,,,
2026-04-25T17:02:17.014,1777147200,02:17,HEDGE_OK,2,7.2402,7.0536,2.6665,0.51,0.52,0.45,0.57,1,7.0033,7.2586,115,7.2402,14.0569,14.4805,0.4236,6.0515
2026-04-25T17:15:32.783,1777148100,00:32,ENTRY,2,7.1688,7.0035,2.3605,0.54,0.55,0.49,0.52,,,,,,,,,
2026-04-25T17:16:01.026,1777148100,01:01,HEDGE_OK,1,7.1794,7.0033,2.5155,0.52,0.53,0.59,0.42,2,7.0035,7.1688,29,7.1688,14.0069,14.3375,0.3307,4.7237
2026-04-25T17:30:37.949,1777149000,00:37,ENTRY,2,7.3143,6.994,4.5764,0.54,0.55,0.47,0.54,,,,,,,,,
2026-04-25T17:38:14.788,1777149000,08:14,HEDGE_OK,1,7.2387,7.1187,1.7142,0.46,0.48,0.55,0.46,2,6.994,7.3143,457,7.2387,14.1126,14.4774,0.3647,5.2103
2026-04-25T17:46:02.190,1777149900,01:02,ENTRY,1,7.2621,7.0658,2.8042,0.55,0.56,0.63,0.38,,,,,,,,,
2026-04-25T17:54:31.359,1777149900,09:31,HEDGE_OK,2,7.1515,7.0013,2.145,0.84,0.85,0.8,0.21,1,7.0658,7.2621,509,7.1515,14.0672,14.303,0.2358,3.3686
2026-04-25T18:00:46.577,1777150800,00:46,ENTRY,2,7.1746,7.0034,2.4457,0.5,0.51,0.45,0.56,,,,,,,,,
2026-04-25T18:04:28.176,1777150800,04:28,HEDGE_OK,1,7.2291,7.069,2.2883,0.63,0.7,0.76,0.25,2,7.0034,7.1746,222,7.1746,14.0724,14.3492,0.2769,3.9552
2026-04-25T18:15:38.000,1777151700,00:38,ENTRY,2,7.3143,6.994,4.5764,0.54,0.55,0.47,0.54,,,,,,,,,
2026-04-25T18:26:53.018,1777151700,11:53,HEDGE_OK,1,7.3198,7.1929,1.8129,0.32,0.33,0.41,0.6,2,6.994,7.3143,675,7.3143,14.1868,14.6286,0.4417,6.3107
2026-04-25T18:30:38.292,1777152600,00:38,ENTRY,2,8.3929,7.0043,19.8369,0.58,0.59,0.39,0.62,,,,,,,,,
2026-04-25T18:45:00.021,1777152600,15:00,NAKED_AT_CLOSE,2,8.3929,7.0043,19.8369,0.58,0.59,0.39,0.62,,,,,,,,,
2026-04-25T18:45:22.184,1777153500,00:22,ENTRY,2,7.3938,7.0037,5.5728,0.62,0.64,0.54,0.47,,,,,,,,,
2026-04-25T19:00:00.209,1777153500,15:00,NAKED_AT_CLOSE,2,7.3938,7.0037,5.5728,0.62,0.64,0.54,0.47,,,,,,,,,
