close_iso,ticker,classification,position,pair_pnl_usd,events,kalshi_result,poly_outcome,kalshi_strike,poly_price_beat,delta
2026-04-25T23:30:00+00:00,KXBTC15M-26APR251930-30,agree,HEDGED,0.2842,ENTRY|HEDGE_OK,yes,up,77606.67,77604.37588821704,-2.29
2026-04-25T23:45:00+00:00,KXBTC15M-26APR251945-45,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,77611.34,77608.94982920769,-2.39
2026-04-26T00:00:00+00:00,KXBTC15M-26APR252000-00,DIVERGE,HEDGED,0.22,ENTRY|HEDGE_OK,no,up,77643.31,77625.8593790729,-17.45
2026-04-26T00:15:00+00:00,KXBTC15M-26APR252015-15,agree,HEDGED,0.4899,ENTRY|HEDGE_OK,no,down,77641.6,77644.85107378918,3.25
2026-04-26T00:30:00+00:00,KXBTC15M-26APR252030-30,agree,HEDGED,0.2644,ENTRY|HEDGE_OK,no,down,77567.84,77573.98546,6.15
2026-04-26T00:45:00+00:00,KXBTC15M-26APR252045-45,agree,HEDGED,0.2194,ENTRY|HEDGE_OK,yes,up,77498.5,77492.10430001072,-6.4
2026-04-26T01:00:00+00:00,KXBTC15M-26APR252100-00,agree,HEDGED,0.3333,ENTRY|HEDGE_OK,no,down,77561.07,77566.93827000001,5.87
2026-04-26T01:15:00+00:00,KXBTC15M-26APR252115-15,DIVERGE,HEDGED,0.2104,ENTRY|HEDGE_OK,no,up,77534.37,77515.09,-19.28
2026-04-26T01:30:00+00:00,KXBTC15M-26APR252130-30,agree,HEDGED,0.2394,ENTRY|HEDGE_OK,yes,up,77534.01,77524.06761665214,-9.94
2026-04-26T01:45:00+00:00,KXBTC15M-26APR252145-45,agree,HEDGED,0.3348,ENTRY|HEDGE_OK,yes,up,77539.61,77527.38401805042,-12.23
2026-04-26T02:00:00+00:00,KXBTC15M-26APR252200-00,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,77567.13,77575.79100271393,8.66
2026-04-26T02:15:00+00:00,KXBTC15M-26APR252215-15,agree,HEDGED,0.2719,ENTRY|HEDGE_OK,yes,up,77481.96,77477.45714294168,-4.5
2026-04-26T02:30:00+00:00,KXBTC15M-26APR252230-30,agree,HEDGED,0.3259,ENTRY|HEDGE_OK,no,down,77589.82,77586.26533,-3.55
2026-04-26T02:45:00+00:00,KXBTC15M-26APR252245-45,agree,HEDGED,0.3227,ENTRY|HEDGE_OK,no,down,77580.65,77575.2,-5.45
2026-04-26T03:00:00+00:00,KXBTC15M-26APR252300-00,agree,HEDGED,0.2009,ENTRY|HEDGE_OK,no,down,77548.39,77540.07172958275,-8.32
2026-04-26T03:15:00+00:00,KXBTC15M-26APR252315-15,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,77524.99,77536.80326999999,11.81
2026-04-26T03:30:00+00:00,KXBTC15M-26APR252330-30,agree,HEDGED,0.2372,ENTRY|HEDGE_OK,no,down,77542.65,77543.50161,0.85
2026-04-26T03:45:00+00:00,KXBTC15M-26APR252345-45,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,77482.53,77445.95999999999,-36.57
2026-04-26T04:00:00+00:00,KXBTC15M-26APR260000-00,agree,HEDGED,0.2081,ENTRY|HEDGE_OK,yes,up,77404.22,77402.41864999999,-1.8
2026-04-26T04:15:00+00:00,KXBTC15M-26APR260015-15,agree,HEDGED,0.5895,ENTRY|HEDGE_OK,yes,up,77430.11,77404.5216270722,-25.59
2026-04-26T04:30:00+00:00,KXBTC15M-26APR260030-30,agree,HEDGED,0.3584,ENTRY|HEDGE_OK,yes,up,77500.36,77488.14195132021,-12.22
2026-04-26T04:45:00+00:00,KXBTC15M-26APR260045-45,agree,HEDGED,0.3206,ENTRY|HEDGE_OK,yes,up,77502.41,77493.89585043456,-8.51
2026-04-26T05:00:00+00:00,KXBTC15M-26APR260100-00,agree,HEDGED,0.5768,ENTRY|HEDGE_OK,yes,up,77539.31,77530.6650325662,-8.64
2026-04-26T05:15:00+00:00,KXBTC15M-26APR260115-15,agree,HEDGED,0.1438,ENTRY|HEDGE_OK,yes,up,77800.09,77787.92549551364,-12.16
2026-04-26T05:30:00+00:00,KXBTC15M-26APR260130-30,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,78135.7,78152.74246377927,17.04
2026-04-26T05:45:00+00:00,KXBTC15M-26APR260145-45,agree,HEDGED,0.355,ENTRY|HEDGE_OK,no,down,78134.21,78118.61078496084,-15.6
