close_ts_utc,close_iso,ticker,kalshi_result,poly_outcome,classification,kalshi_strike,kalshi_cap_strike,kalshi_settlement,poly_price_to_beat,delta_poly_minus_kalshi,poly_question
1777177800,2026-04-26T04:30:00+00:00,KXBTC15M-26APR260030-30,yes,up,agree,77500.36,,,77488.14195132021,-12.22,"Bitcoin Up or Down - April 26, 12:15AM-12:30AM ET"
1777178700,2026-04-26T04:45:00+00:00,KXBTC15M-26APR260045-45,yes,up,agree,77502.41,,,77493.89585043456,-8.51,"Bitcoin Up or Down - April 26, 12:30AM-12:45AM ET"
1777179600,2026-04-26T05:00:00+00:00,KXBTC15M-26APR260100-00,yes,up,agree,77539.31,,,77530.6650325662,-8.64,"Bitcoin Up or Down - April 26, 12:45AM-1:00AM ET"
1777180500,2026-04-26T05:15:00+00:00,KXBTC15M-26APR260115-15,yes,up,agree,77800.09,,,77787.92549551364,-12.16,"Bitcoin Up or Down - April 26, 1:00AM-1:15AM ET"
1777181400,2026-04-26T05:30:00+00:00,KXBTC15M-26APR260130-30,no,down,agree,78135.7,,,78152.74246377927,17.04,"Bitcoin Up or Down - April 26, 1:15AM-1:30AM ET"
1777182300,2026-04-26T05:45:00+00:00,KXBTC15M-26APR260145-45,no,down,agree,78134.21,,,78118.61078496084,-15.6,"Bitcoin Up or Down - April 26, 1:30AM-1:45AM ET"
1777183200,2026-04-26T06:00:00+00:00,KXBTC15M-26APR260200-00,no,down,agree,78064.64,,,78066.06326,1.42,"Bitcoin Up or Down - April 26, 1:45AM-2:00AM ET"
1777184100,2026-04-26T06:15:00+00:00,KXBTC15M-26APR260215-15,yes,up,agree,78014.65,,,78002.85,-11.8,"Bitcoin Up or Down - April 26, 2:00AM-2:15AM ET"
1777185000,2026-04-26T06:30:00+00:00,KXBTC15M-26APR260230-30,no,down,agree,78041.65,,,78034.46999999999,-7.18,"Bitcoin Up or Down - April 26, 2:15AM-2:30AM ET"
1777185900,2026-04-26T06:45:00+00:00,KXBTC15M-26APR260245-45,yes,up,agree,77975.98,,,77965.92358999999,-10.06,"Bitcoin Up or Down - April 26, 2:30AM-2:45AM ET"
1777186800,2026-04-26T07:00:00+00:00,KXBTC15M-26APR260300-00,no,down,agree,78033.26,,,78031.32,-1.94,"Bitcoin Up or Down - April 26, 2:45AM-3:00AM ET"
1777187700,2026-04-26T07:15:00+00:00,KXBTC15M-26APR260315-15,yes,up,agree,78017.79,,,78017.29822,-0.49,"Bitcoin Up or Down - April 26, 3:00AM-3:15AM ET"
1777188600,2026-04-26T07:30:00+00:00,KXBTC15M-26APR260330-30,no,down,agree,78033.19,,,78026.51501999999,-6.67,"Bitcoin Up or Down - April 26, 3:15AM-3:30AM ET"
1777189500,2026-04-26T07:45:00+00:00,KXBTC15M-26APR260345-45,no,down,agree,78018.37,,,78016.06000000001,-2.31,"Bitcoin Up or Down - April 26, 3:30AM-3:45AM ET"
1777190400,2026-04-26T08:00:00+00:00,KXBTC15M-26APR260400-00,yes,up,agree,78002.66,,,77996.36,-6.3,"Bitcoin Up or Down - April 26, 3:45AM-4:00AM ET"
1777191300,2026-04-26T08:15:00+00:00,KXBTC15M-26APR260415-15,no,down,agree,78127.32,,,78122.24388,-5.08,"Bitcoin Up or Down - April 26, 4:00AM-4:15AM ET"
1777192200,2026-04-26T08:30:00+00:00,KXBTC15M-26APR260430-30,yes,up,agree,78103.83,,,78096.74251,-7.09,"Bitcoin Up or Down - April 26, 4:15AM-4:30AM ET"
1777193100,2026-04-26T08:45:00+00:00,KXBTC15M-26APR260445-45,no,down,agree,78108.29,,,78105.63569,-2.65,"Bitcoin Up or Down - April 26, 4:30AM-4:45AM ET"
1777194000,2026-04-26T09:00:00+00:00,KXBTC15M-26APR260500-00,no,down,agree,78068.99,,,78063.96887,-5.02,"Bitcoin Up or Down - April 26, 4:45AM-5:00AM ET"
1777194900,2026-04-26T09:15:00+00:00,KXBTC15M-26APR260515-15,no,down,agree,78059.77,,,78049.34583782061,-10.42,"Bitcoin Up or Down - April 26, 5:00AM-5:15AM ET"
1777195800,2026-04-26T09:30:00+00:00,KXBTC15M-26APR260530-30,yes,up,agree,78031.02,,,78027.75840950041,-3.26,"Bitcoin Up or Down - April 26, 5:15AM-5:30AM ET"
1777196700,2026-04-26T09:45:00+00:00,KXBTC15M-26APR260545-45,no,down,agree,78035.12,,,78030.20144,-4.92,"Bitcoin Up or Down - April 26, 5:30AM-5:45AM ET"
1777197600,2026-04-26T10:00:00+00:00,KXBTC15M-26APR260600-00,yes,up,agree,78002.64,,,77995.13024,-7.51,"Bitcoin Up or Down - April 26, 5:45AM-6:00AM ET"
1777198500,2026-04-26T10:15:00+00:00,KXBTC15M-26APR260615-15,yes,up,agree,78025.06,,,78018.61012578782,-6.45,"Bitcoin Up or Down - April 26, 6:00AM-6:15AM ET"
1777199400,2026-04-26T10:30:00+00:00,KXBTC15M-26APR260630-30,no,down,agree,78059.68,,,78056.1566838906,-3.52,"Bitcoin Up or Down - April 26, 6:15AM-6:30AM ET"
1777200300,2026-04-26T10:45:00+00:00,KXBTC15M-26APR260645-45,no,down,agree,78037.22,,,78029.72358,-7.5,"Bitcoin Up or Down - April 26, 6:30AM-6:45AM ET"
1777201200,2026-04-26T11:00:00+00:00,KXBTC15M-26APR260700-00,no,up,DIVERGE,78030.37,,,78004.03951453169,-26.33,"Bitcoin Up or Down - April 26, 6:45AM-7:00AM ET"
1777202100,2026-04-26T11:15:00+00:00,KXBTC15M-26APR260715-15,yes,up,agree,78022.02,,,78016.69596,-5.32,"Bitcoin Up or Down - April 26, 7:00AM-7:15AM ET"
1777203000,2026-04-26T11:30:00+00:00,KXBTC15M-26APR260730-30,yes,up,agree,78076.8,,,78062.34494000001,-14.46,"Bitcoin Up or Down - April 26, 7:15AM-7:30AM ET"
1777203900,2026-04-26T11:45:00+00:00,KXBTC15M-26APR260745-45,no,down,agree,78147.39,,,78143.30605,-4.08,"Bitcoin Up or Down - April 26, 7:30AM-7:45AM ET"
1777204800,2026-04-26T12:00:00+00:00,KXBTC15M-26APR260800-00,yes,up,agree,78097.91,,,78090.39733,-7.51,"Bitcoin Up or Down - April 26, 7:45AM-8:00AM ET"
1777205700,2026-04-26T12:15:00+00:00,KXBTC15M-26APR260815-15,no,down,agree,78125.84,,,78110.01373653737,-15.83,"Bitcoin Up or Down - April 26, 8:00AM-8:15AM ET"
1777206600,2026-04-26T12:30:00+00:00,KXBTC15M-26APR260830-30,no,down,agree,78009.36,,,77996.54305231506,-12.82,"Bitcoin Up or Down - April 26, 8:15AM-8:30AM ET"
1777207500,2026-04-26T12:45:00+00:00,KXBTC15M-26APR260845-45,no,down,agree,77994.43,,,77986.20133,-8.23,"Bitcoin Up or Down - April 26, 8:30AM-8:45AM ET"
